;Arbeitslosigkeit;;;;;;;;
41220-ORT IM INNKREIS;13;-1;-7,6%;16;1;3,7%;29;-1;-1,7%
41221-PATTIGHAM;6;1;27,1%;5;0;3,4%;11;2;15,3%
41222-PETERSKIRCHEN;6;0;7,2%;4;1;23,8%;11;1;13,5%
41223-PRAMET;7;-1;-11,0%;10;3;49,4%;17;2;15,3%
41224-REICHERSBERG;8;1;13,4%;6;-1;-7,6%;14;0;3,1%
41225-RIED IM INNKREIS;118;12;11,8%;123;-6;-4,3%;241;7;3,0%
41226-SANKT GEORGEN BEI OBERNBERG AM INN;5;-1;-15,2%;3;-1;-20,5%;7;-2;-17,1%
41227-SANKT MARIENKIRCHEN AM HAUSRUCK;6;0;6,1%;6;2;38,5%;12;2;20,3%
41228-SANKT MARTIN IM INNKREIS;16;-1;-5,8%;15;1;5,3%;31;0;-0,8%
41229-SCHILDORN;7;1;20,6%;10;0;0,0%;17;1;7,4%
41230-SENFTENBACH;6;2;32,1%;6;-1;-11,3%;12;1;6,6%
41231-TAISKIRCHEN IM INNKREIS;22;8;54,1%;17;0;-2,0%;38;7;23,7%
41232-TUMELTSHAM;10;0;3,3%;10;0;-1,7%;20;0;0,8%
41233-UTZENAICH;7;-3;-31,2%;10;1;9,6%;17;-2;-12,7%
41234-WALDZELL;11;-4;-25,6%;21;3;17,2%;32;-1;-2,0%
41235-WEILBACH;4;0;2,0%;5;1;17,3%;9;1;9,9%
41236-WIPPENHAM;2;-3;-57,6%;5;0;-1,7%;7;-3;-31,5%
Gesamt;450;0;0,1%;499;1;0,2%;948;1;0,1%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2008      Region:  Rohrbach 413;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
41301-AFIESL;2;0;11,8%;2;0;0,0%;3;0;5,1%
41302-AHORN;1;0;0,0%;1;0;-21,4%;2;0;-10,3%
41303-AIGEN IM MUEHLKREIS;16;-4;-17,6%;18;-5;-20,1%;35;-8;-18,9%
41304-ALTENFELDEN;13;2;20,5%;15;2;11,5%;28;4;15,4%
41305-ARNREIT;5;0;-6,9%;7;-2;-24,8%;12;-3;-18,9%
41306-ATZESBERG;1;0;9,1%;3;0;-11,4%;4;0;-6,5%
41307-AUBERG;2;-1;-37,8%;2;0;15,8%;4;-1;-21,9%
41308-BERG BEI ROHRBACH;12;-2;-16,2%;13;0;0,6%;25;-2;-8,0%
41309-HASLACH AN DER MUEHL;20;5;36,1%;16;2;14,1%;37;7;25,4%
41310-HELFENBERG;2;-1;-23,7%;6;0;-4,0%;8;-1;-10,6%
41311-HOERBICH;3;-1;-15,0%;2;-1;-17,6%;5;-1;-16,2%
41312-HOFKIRCHEN IM MUEHLKREIS;12;-2;-12,7%;10;-2;-14,5%;22;-4;-13,5%
41313-JULBACH;10;0;3,5%;13;-4;-23,5%;22;-4;-13,5%
41314-KIRCHBERG OB DER DONAU;9;2;34,5%;8;-2;-16,9%;18;1;4,5%
41315-KLAFFER;8;-4;-31,2%;14;-4;-20,7%;22;-7;-24,8%
41316-KLEINZELL IM MUEHLKREIS;7;1;12,0%;10;1;10,5%;17;2;11,1%
41317-KOLLERSCHLAG;8;2;31,6%;9;-2;-19,5%;17;0;-1,0%
41318-LEMBACH IM MUEHLKREIS;9;0;2,8%;12;-4;-25,3%;21;-4;-15,2%
41319-LICHTENAU IM MUEHLKREIS;2;0;3,8%;2;-1;-27,3%;4;-1;-13,6%
41320-NEBELBERG;4;1;19,5%;2;-2;-53,7%;6;-2;-22,1%
41321-NEUFELDEN;9;1;10,1%;9;-2;-16,9%;18;-1;-4,9%
41322-NIEDERKAPPEL;7;-1;-13,8%;6;-1;-10,5%;12;-2;-12,4%
41323-NIEDERWALDKIRCHEN;10;-2;-16,5%;10;-1;-8,2%;20;-3;-12,5%
41324-OBERKAPPEL;3;1;65,2%;5;-2;-28,1%;9;-1;-8,9%
41325-OEPPING;7;-1;-14,3%;15;-1;-3,2%;22;-2;-6,8%
41326-PEILSTEIN IM MUEHLVIERTEL;9;1;9,0%;8;-2;-23,0%;17;-2;-8,8%
41327-PFARRKIRCHEN IM MUEHLKREIS;9;-2;-17,3%;9;-2;-16,5%;18;-4;-16,9%
41328-PUTZLEINSDORF;8;-2;-23,1%;9;0;3,0%;16;-2;-11,3%
41329-NEUSTIFT IM MUEHLKREIS;9;0;0,0%;7;-6;-43,6%;17;-6;-25,5%
41330-ROHRBACH IN OBEROESTERREICH;18;3;17,4%;22;-2;-8,2%;40;1;1,9%
41331-SANKT JOHANN AM WIMBERG;4;-1;-10,7%;5;-1;-15,5%;9;-1;-13,4%
41332-SANKT MARTIN IM MUEHLKREIS;22;-4;-14,6%;22;0;1,6%;43;-3;-7,3%
41333-SANKT OSWALD BEI HASLACH;4;2;96,2%;4;-2;-26,1%;9;1;7,4%
41334-SANKT PETER AM WIMBERG;10;1;11,5%;7;0;2,4%;17;1;7,4%
41335-SANKT STEFAN AM WALDE;3;0;3,2%;4;0;-2,2%;6;0;0,0%
41336-SANKT ULRICH IM MUEHLKREIS;3;0;6,5%;4;1;20,5%;7;1;14,3%
41337-SANKT VEIT IM MUEHLKREIS;6;0;7,9%;4;0;2,0%;10;1;5,3%
41338-SARLEINSBACH;11;-1;-8,5%;15;-1;-3,8%;26;-2;-5,8%
41339-SCHLAEGL;10;3;42,5%;8;0;-1,0%;18;3;18,4%
41340-SCHOENEGG;1;0;-6,7%;4;0;13,2%;5;0;7,5%
41341-SCHWARZENBERG IM MUEHLKREIS;3;-1;-16,3%;7;-1;-11,3%;10;-2;-12,9%
41342-ULRICHSBERG;24;4;18,9%;39;-4;-9,4%;63;0;-0,4%
Gesamt;335;2;0,6%;389;-48;-10,9%;725;-46;-5,9%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2008      Region:  Schärding 414;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
41401-ALTSCHWENDT;5;1;36,6%;4;-1;-12,3%;9;1;8,2%
41402-ANDORF;47;1;3,1%;53;-9;-14,9%;101;-8;-7,3%
41403-BRUNNENTHAL;13;-4;-22,4%;16;-2;-10,3%;29;-6;-16,1%
41404-DIERSBACH;13;1;7,8%;15;0;0,6%;27;1;3,8%
41405-DORF AN DER PRAM;5;0;-6,0%;4;-2;-32,9%;10;-2;-20,3%
41406-EGGERDING;13;-1;-5,4%;10;-2;-13,6%;23;-2;-9,1%
41407-ENGELHARTSZELL;9;2;25,9%;7;1;14,3%;16;3;20,4%
41408-ENZENKIRCHEN;12;1;10,4%;19;-4;-17,6%;31;-3;-8,4%
41409-ESTERNBERG;17;3;20,7%;19;-5;-19,5%;35;-2;-4,5%
41410-FREINBERG;13;2;15,2%;9;1;17,0%;22;3;15,9%
41411-KOPFING IM INNKREIS;12;-2;-16,4%;24;-2;-6,2%;36;-4;-10,0%
41412-MAYRHOF;2;1;50,0%;1;-2;-70,6%;3;-1;-35,4%
41413-MUENZKIRCHEN;20;2;9,5%;22;-5;-19,0%;43;-4;-7,6%
41414-RAAB;18;-2;-8,6%;27;-4;-13,2%;45;-6;-11,4%
41415-RAINBACH IM INNKREIS;11;-2;-14,1%;9;-3;-26,5%;20;-5;-20,3%
41416-RIEDAU;19;-3;-11,7%;22;0;-1,1%;41;-3;-6,3%
41417-SANKT AEGIDI;12;-1;-9,6%;15;-4;-20,7%;27;-5;-16,2%
41418-SANKT FLORIAN AM INN;32;-4;-10,2%;35;2;7,0%;66;-1;-2,0%
41419-SANKT MARIENKIRCHEN BEI SCHAERDING;18;0;2,4%;14;-2;-10,4%;32;-1;-3,8%
41420-SANKT ROMAN;12;0;2,9%;13;2;17,2%;24;2;9,8%
41421-SANKT WILLIBALD;11;3;39,1%;13;-2;-13,2%;24;1;4,4%
41422-SCHAERDING;57;-10;-14,5%;69;-1;-1,9%;126;-11;-8,1%
41423-SCHARDENBERG;12;-3;-17,6%;13;-2;-13,4%;26;-5;-15,5%
41424-SIGHARTING;8;2;22,5%;10;-1;-11,1%;18;0;1,4%
41425-SUBEN;11;-1;-4,9%;8;-3;-26,6%;19;-3;-15,0%
41426-TAUFKIRCHEN AN DER PRAM;30;2;7,7%;35;-2;-5,0%;65;0;0,5%
41427-VICHTENSTEIN;6;0;8,1%;10;-3;-26,5%;15;-3;-16,6%
41428-WALDKIRCHEN AM WESEN;11;2;21,8%;10;0;-1,7%;21;2;9,7%
41429-WERNSTEIN AM INN;12;1;9,4%;9;-1;-12,7%;20;0;-1,2%
41430-ZELL AN DER PRAM;19;-3;-13,6%;20;-1;-6,7%;38;-4;-10,2%
Gesamt;478;-9;-1,9%;534;-56;-9,5%;1.011;-65;-6,1%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2008      Region:  Steyr 415;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40201-STEYR;535;-35;-6,1%;663;24;3,8%;1.198;-11;-0,9%
41501-ADLWANG;7;-4;-38,5%;10;1;8,3%;16;-3;-17,2%
41502-ASCHACH AN DER STEYR;14;-4;-21,7%;14;0;-0,6%;28;-4;-12,8%
41503-BAD HALL;52;-6;-10,4%;55;-1;-1,9%;107;-7;-6,2%
41504-DIETACH;14;-1;-9,1%;18;4;24,2%;33;2;7,1%
41505-GAFLENZ;9;0;-3,6%;7;-1;-17,3%;16;-2;-10,1%
41506-GARSTEN;44;-4;-9,0%;41;-2;-5,5%;85;-7;-7,3%
41507-GROSZRAMING;11;-5;-31,0%;16;3;19,8%;28;-2;-8,1%
41508-LAUSSA;6;-3;-29,2%;9;-1;-10,1%;15;-4;-19,1%
41509-LOSENSTEIN;14;4;38,0%;10;0;-1,7%;24;4;18,3%
41510-MARIA NEUSTIFT;9;1;18,7%;8;1;6,7%;17;2;12,7%
41511-PFARRKIRCHEN BEI BAD HALL;13;1;8,1%;12;1;9,4%;25;2;8,7%
41512-REICHRAMING;12;2;16,8%;14;1;5,0%;26;2;10,1%
41513-ROHR IM KREMSTAL;12;-1;-4,0%;8;-2;-17,9%;21;-2;-10,2%
41514-SANKT ULRICH BEI STEYR;11;-4;-28,0%;14;2;19,9%;25;-2;-7,5%
41515-SCHIEDLBERG;6;1;14,1%;8;-1;-11,0%;14;0;-1,7%
41516-SIERNING;80;5;6,3%;72;-9;-11,6%;152;-5;-3,0%
41517-TERNBERG;27;-2;-7,1%;25;0;-1,0%;52;-2;-4,3%
41518-WALDNEUKIRCHEN;14;-1;-3,5%;10;-2;-13,2%;24;-2;-8,0%
41521-WOLFERN;16;-6;-25,5%;14;1;4,9%;31;-5;-13,9%
41522-WEYER;30;9;42,1%;28;8;42,6%;58;17;42,4%
Gesamt;938;-67;-6,7%;1.056;10;0,9%;1.994;-57;-2,8%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2008      Region:  Vöcklabruck 418;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
41701-AMPFLWANG IM HAUSRUCKWALD;34;-5;-13,5%;35;1;1,7%;69;-5;-6,4%
41702-ATTERSEE;12;-1;-4,5%;13;2;15,2%;26;1;4,8%
41703-ATTNANG-PUCHHEIM;117;-1;-0,6%;138;21;17,8%;255;20;8,5%
41704-ATZBACH;6;-1;-15,9%;6;1;17,2%;12;0;-2,7%
41705-AURACH AM HONGAR;7;-4;-34,6%;7;1;12,2%;14;-3;-17,4%
41706-BERG IM ATTERGAU;5;1;32,6%;3;0;13,9%;8;2;24,1%
41707-DESSELBRUNN;7;-2;-17,8%;13;4;41,5%;19;2;12,6%
41708-FORNACH;7;0;-3,6%;5;0;-6,6%;12;-1;-4,8%
41709-FRANKENBURG AM HAUSRUCK;31;-2;-6,9%;30;2;6,8%;62;0;-0,7%
41710-FRANKENMARKT;34;2;5,7%;28;2;6,5%;61;4;6,1%
41711-GAMPERN;11;-3;-22,4%;11;0;-1,5%;22;-3;-13,2%
41712-INNERSCHWAND;6;-1;-12,8%;4;0;-5,6%;10;-1;-9,8%
41713-LENZING;45;-2;-3,7%;42;5;14,2%;87;3;4,1%
41714-MANNING;4;0;10,5%;3;0;6,9%;6;1;9,0%
41715-MONDSEE;50;-2;-4,6%;36;-2;-5,1%;85;-4;-4,8%
41716-NEUKIRCHEN AN DER VOECKLA;14;0;0,0%;11;1;7,1%;25;1;3,1%
41717-NIEDERTHALHEIM;4;-1;-17,9%;6;1;15,0%;10;0;-0,9%
41718-NUSZDORF AM ATTERSEE;6;0;-5,2%;7;1;23,4%;13;1;7,8%
41719-OBERHOFEN AM IRRSEE;9;2;35,4%;9;0;0,0%;19;2;14,9%
41720-OBERNDORF BEI SCHWANENSTADT;7;-2;-21,4%;7;-3;-31,5%;14;-5;-26,9%
41721-OBERWANG;8;2;25,6%;8;0;4,7%;16;2;14,6%
41722-OTTNANG AM HAUSRUCK;32;3;11,1%;26;-3;-9,6%;58;1;0,9%
41723-PFAFFING;9;4;86,0%;5;2;41,9%;14;6;67,0%
41724-PILSBACH;1;-1;-57,1%;1;-1;-45,0%;2;-2;-51,2%
41725-PITZENBERG;2;-2;-53,5%;2;0;22,2%;4;-2;-31,1%
41726-POENDORF;16;2;16,7%;14;2;20,3%;30;5;18,4%
41727-PUCHKIRCHEN AM TRATTBERG;6;1;14,5%;5;-1;-17,6%;11;0;-2,3%
41728-PUEHRET;1;-1;-57,9%;1;0;-11,8%;2;-1;-36,1%
41729-REDLEITEN;1;-1;-39,3%;2;1;31,8%;4;0;-8,0%
41730-REDLHAM;5;-3;-36,3%;6;-1;-8,5%;11;-3;-23,1%
41731-REGAU;45;4;9,8%;35;-2;-4,2%;80;3;3,2%
41732-RUESTORF;12;0;2,9%;10;0;0,0%;22;0;1,5%
41733-RUTZENHAM;1;-1;-56,0%;1;0;27,3%;2;-1;-30,6%
41734-SANKT GEORGEN IM ATTERGAU;41;-1;-1,2%;30;-2;-7,5%;71;-3;-4,0%
41735-SANKT LORENZ;8;0;-3,1%;12;3;31,0%;20;3;15,3%
41736-SCHLATT;12;2;15,4%;7;-2;-24,0%;18;-1;-2,6%
41737-SCHOERFLING AM ATTERSEE;16;-3;-15,5%;20;-3;-13,0%;36;-6;-14,1%
41738-SCHWANENSTADT;62;1;1,9%;60;2;2,6%;122;3;2,2%
41739-SEEWALCHEN AM ATTERSEE;35;-2;-5,7%;32;2;5,5%;67;0;-0,6%
41740-STEINBACH AM ATTERSEE;4;-2;-31,6%;5;1;32,6%;9;-1;-7,4%
41741-STRASZ IM ATTERGAU;6;-2;-20,6%;9;4;75,0%;15;2;15,9%
41742-TIEFGRABEN;11;1;7,7%;11;0;3,0%;22;1;5,2%
41743-TIMELKAM;51;-2;-3,6%;40;6;17,5%;91;4;4,6%
41744-UNGENACH;8;-3;-27,0%;7;1;24,6%;15;-2;-10,4%
41745-UNTERACH AM ATTERSEE;9;1;7,2%;9;0;-0,9%;18;1;2,9%
41746-VOECKLABRUCK;122;18;17,3%;123;0;0,0%;244;18;7,9%
41747-VOECKLAMARKT;33;-2;-5,0%;40;7;22,8%;72;6;8,4%
41748-WEISZENKIRCHEN IM ATTERGAU;4;-1;-21,4%;2;0;-6,5%;6;-1;-16,1%
41749-WEYREGG AM ATTERSEE;12;4;45,3%;10;2;25,8%;21;6;35,6%
41750-WOLFSEGG AM HAUSRUCK;14;0;1,2%;17;2;15,7%;31;2;8,6%
41751-ZELL AM MOOS;8;-2;-19,0%;10;-2;-17,4%;17;-4;-18,1%
41752-ZELL AM PETTENFIRST;8;2;38,6%;6;-1;-14,3%;14;1;9,7%
Gesamt;1.016;-4;-0,4%;975;53;5,7%;1.991;48;2,5%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2008      Region:  Wels 419;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40301-WELS;604;-35;-5,5%;796;-23;-2,8%;1.400;-58;-4,0%
41801-AICHKIRCHEN;3;1;100,0%;4;0;13,2%;6;2;37,7%
41802-BACHMANNING;3;-1;-22,6%;3;0;13,3%;6;-1;-9,6%
41803-BAD WIMSBACH-NEYDHARTING;12;0;-3,4%;15;-3;-16,0%;27;-3;-10,9%
41804-BUCHKIRCHEN;15;-11;-41,6%;17;0;-1,0%;31;-11;-25,5%
41805-EBERSTALZELL;12;0;-0,7%;9;-2;-16,8%;20;-2;-8,3%
41806-EDT BEI LAMBACH;12;-1;-3,9%;11;2;27,7%;23;2;8,7%
41807-FISCHLHAM;6;-2;-26,9%;6;1;14,1%;12;-2;-11,3%
41808-GUNSKIRCHEN;36;-6;-13,7%;25;1;4,8%;62;-5;-6,9%
41809-HOLZHAUSEN;7;3;92,9%;4;-1;-19,0%;11;2;25,7%
41810-KRENGLBACH;16;-1;-7,3%;15;-5;-24,4%;31;-6;-16,5%
41811-LAMBACH;34;0;1,0%;38;-1;-2,4%;72;-1;-0,8%
41812-MARCHTRENK;87;1;0,9%;97;-5;-4,7%;184;-4;-2,2%
41813-NEUKIRCHEN BEI LAMBACH;5;2;60,0%;3;0;12,1%;8;2;38,4%
41814-OFFENHAUSEN;8;-1;-14,3%;11;0;4,0%;19;-1;-4,6%
41815-PENNEWANG;5;0;7,4%;3;-1;-25,0%;7;-1;-6,4%
41816-PICHL BEI WELS;19;2;11,9%;14;-2;-10,3%;33;0;1,3%
41817-SATTLEDT;12;0;-3,3%;13;1;4,7%;25;0;0,7%
41818-SCHLEISZHEIM;6;0;-5,6%;4;-2;-28,2%;10;-2;-16,8%
41819-SIPBACHZELL;13;-1;-9,0%;12;-3;-19,6%;25;-4;-14,5%
41820-STADL-PAURA;49;-3;-6,3%;54;-3;-5,2%;103;-6;-5,7%
41821-STEINERKIRCHEN AN DER TRAUN;11;3;36,1%;9;-1;-9,7%;20;2;10,4%
41822-STEINHAUS;9;3;43,4%;8;1;7,7%;17;3;24,0%
41823-THALHEIM BEI WELS;38;-5;-12,1%;39;2;4,7%;77;-4;-4,3%
41824-WEISZKIRCHEN AN DER TRAUN;18;-2;-10,9%;15;-2;-9,1%;33;-4;-10,1%
Gesamt;1.040;-55;-5,0%;1.227;-43;-3,4%;2.267;-98;-4,1%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2008      Region:  Traun (mit ZWS) 421;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
41001-ALLHAMING;8;-8;-50,3%;10;-5;-34,1%;18;-14;-42,4%
41002-ANSFELDEN;130;-12;-8,2%;193;5;2,9%;324;-6;-1,9%
41003-ASTEN;46;-7;-13,0%;52;8;18,1%;98;1;1,1%
41004-EGGENDORF IM TRAUNKREIS;4;0;-4,3%;6;3;105,7%;10;3;42,7%
41005-ENNS;82;4;4,8%;96;-5;-5,0%;178;-1;-0,7%
41006-HARGELSBERG;5;-1;-11,3%;5;3;152,2%;9;2;32,9%
41007-HOERSCHING;36;-3;-7,2%;51;7;15,6%;88;4;4,9%
41008-HOFKIRCHEN IM TRAUNKREIS;9;2;38,2%;7;-1;-15,4%;16;1;7,2%
41009-KEMATEN AN DER KREMS;14;-1;-7,3%;15;-2;-9,0%;29;-3;-8,2%
41010-KIRCHBERG-THENING;11;2;15,7%;10;0;0,8%;22;2;7,9%
41011-KRONSTORF;22;2;7,7%;22;2;7,4%;44;3;7,6%
41012-LEONDING;137;-10;-7,0%;182;1;0,7%;319;-9;-2,7%
41013-MARKT SANKT FLORIAN;29;3;11,8%;24;1;5,8%;53;4;9,0%
41014-NEUHOFEN AN DER KREMS;32;-3;-7,8%;35;1;3,0%;67;-2;-2,6%
41015-NIEDERNEUKIRCHEN;6;-4;-40,4%;7;-2;-20,2%;13;-6;-30,5%
41016-OFTERING;10;0;-1,6%;10;2;23,2%;20;2;9,1%
41017-PASCHING;44;1;3,4%;43;-2;-5,0%;86;-1;-1,0%
41018-PIBERBACH;10;2;18,1%;9;1;14,7%;19;3;16,5%
41019-PUCKING;15;-3;-18,1%;20;-2;-6,8%;36;-5;-12,1%
41020-SANKT MARIEN;23;1;6,7%;21;-1;-3,1%;44;1;1,7%
41021-TRAUN;212;-25;-10,4%;306;-9;-2,7%;518;-33;-6,0%
41022-WILHERING;21;-3;-13,4%;23;-7;-22,8%;44;-10;-18,6%
Gesamt;907;-63;-6,5%;1.150;0;0,0%;2.057;-63;-3,0%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
