;Arbeitslosigkeit;;;;;;;;
41218-NEUHOFEN IM INNKREIS;15;-2;-10,4%;21;-1;-2,4%;36;-2;-5,9%
41219-OBERNBERG AM INN;17;-3;-13,0%;31;-4;-11,9%;48;-7;-12,3%
41220-ORT IM INNKREIS;15;-5;-26,4%;19;-2;-8,7%;34;-7;-17,3%
41221-PATTIGHAM;8;0;2,3%;8;-1;-7,9%;15;-1;-3,2%
41222-PETERSKIRCHEN;5;-1;-16,9%;6;0;7,9%;10;-1;-4,7%
41223-PRAMET;8;2;32,4%;12;-2;-11,7%;19;0;1,3%
41224-REICHERSBERG;12;1;9,9%;13;3;23,8%;25;4;16,9%
41225-RIED IM INNKREIS;133;-4;-2,6%;178;-40;-18,5%;312;-44;-12,4%
41226-SANKT GEORGEN BEI OBERNBERG AM INN;4;0;2,1%;3;-1;-26,9%;7;-1;-13,1%
41227-SANKT MARIENKIRCHEN AM HAUSRUCK;4;-3;-37,3%;7;0;3,6%;12;-2;-16,8%
41228-SANKT MARTIN IM INNKREIS;14;-1;-4,9%;21;-6;-21,2%;36;-7;-15,4%
41229-SCHILDORN;9;1;6,8%;12;0;-2,6%;22;0;1,2%
41230-SENFTENBACH;6;0;-1,3%;11;3;34,7%;18;3;19,2%
41231-TAISKIRCHEN IM INNKREIS;21;2;10,6%;28;-1;-4,8%;49;1;1,2%
41232-TUMELTSHAM;15;-1;-6,6%;14;-1;-6,7%;29;-2;-6,6%
41233-UTZENAICH;8;-3;-27,5%;17;4;32,3%;26;1;4,4%
41234-WALDZELL;12;-1;-6,9%;28;1;4,0%;41;0;0,4%
41235-WEILBACH;7;0;3,8%;6;-1;-10,4%;13;0;-3,2%
41236-WIPPENHAM;6;2;38,2%;6;0;-3,8%;13;2;13,5%
Gesamt;509;-28;-5,3%;721;-77;-9,6%;1.230;-105;-7,9%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2010      Region:  Rohrbach 413;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
41301-AFIESL;2;-1;-28,0%;3;1;82,4%;4;1;16,7%
41302-AHORN;3;2;150,0%;4;2;65,6%;7;3;88,6%
41303-AIGEN IM MUEHLKREIS;15;-2;-13,6%;25;-3;-9,0%;40;-5;-10,8%
41304-ALTENFELDEN;13;3;24,2%;24;3;13,7%;37;5;17,2%
41305-ARNREIT;5;-3;-38,6%;13;2;14,5%;18;-2;-8,6%
41306-ATZESBERG;2;0;0,0%;4;0;2,1%;6;0;1,4%
41307-AUBERG;3;1;45,8%;6;2;52,1%;9;3;50,0%
41308-BERG BEI ROHRBACH;12;0;-3,4%;22;4;18,9%;34;3;10,1%
41309-HASLACH AN DER MUEHL;16;-5;-24,4%;20;4;27,7%;36;-1;-2,1%
41310-HELFENBERG;4;0;0,0%;11;1;11,8%;15;1;8,4%
41311-HOERBICH;2;0;-12,5%;2;-1;-20,6%;4;-1;-17,2%
41312-HOFKIRCHEN IM MUEHLKREIS;13;0;0,0%;13;-1;-8,1%;26;-1;-4,3%
41313-JULBACH;12;-1;-5,8%;19;-1;-3,9%;31;-2;-4,7%
41314-KIRCHBERG OB DER DONAU;7;-2;-20,4%;9;1;6,1%;16;-1;-7,5%
41315-KLAFFER;13;1;11,5%;18;3;17,9%;31;4;15,2%
41316-KLEINZELL IM MUEHLKREIS;8;1;20,7%;14;3;22,6%;22;4;21,9%
41317-KOLLERSCHLAG;11;1;6,3%;14;1;11,5%;25;2;9,1%
41318-LEMBACH IM MUEHLKREIS;10;0;-3,2%;20;4;24,9%;30;4;13,9%
41319-LICHTENAU IM MUEHLKREIS;3;-1;-20,8%;4;1;22,5%;7;0;-1,1%
41320-NEBELBERG;3;1;24,1%;2;-1;-27,5%;5;0;-5,8%
41321-NEUFELDEN;11;-2;-12,3%;10;1;5,3%;21;-1;-4,9%
41322-NIEDERKAPPEL;7;1;14,7%;7;1;19,4%;14;2;17,1%
41323-NIEDERWALDKIRCHEN;9;2;18,9%;11;2;27,3%;20;4;23,2%
41324-OBERKAPPEL;5;1;28,9%;7;1;8,9%;12;2;16,1%
41325-OEPPING;8;0;3,1%;18;2;10,7%;27;2;8,2%
41326-PEILSTEIN IM MUEHLVIERTEL;9;1;10,9%;15;2;17,6%;24;3;15,1%
41327-PFARRKIRCHEN IM MUEHLKREIS;6;-1;-14,6%;13;0;0,6%;20;-1;-4,8%
41328-PUTZLEINSDORF;7;-3;-26,3%;11;2;18,6%;18;-1;-4,3%
41329-NEUSTIFT IM MUEHLKREIS;9;-2;-20,7%;11;3;36,1%;20;1;3,0%
41330-ROHRBACH IN OBEROESTERREICH;15;-1;-7,4%;29;4;14,7%;44;3;6,2%
41331-SANKT JOHANN AM WIMBERG;7;1;23,8%;5;0;-6,9%;11;1;9,1%
41332-SANKT MARTIN IM MUEHLKREIS;19;-7;-25,9%;34;4;11,7%;53;-3;-5,8%
41333-SANKT OSWALD BEI HASLACH;3;-2;-34,9%;8;1;10,2%;12;-1;-8,6%
41334-SANKT PETER AM WIMBERG;11;1;7,3%;10;1;5,1%;21;1;6,2%
41335-SANKT STEFAN AM WALDE;3;0;5,9%;5;0;-1,5%;8;0;1,0%
41336-SANKT ULRICH IM MUEHLKREIS;3;-1;-15,2%;4;-1;-14,5%;8;-1;-14,8%
41337-SANKT VEIT IM MUEHLKREIS;8;1;13,9%;6;0;-4,2%;13;1;5,3%
41338-SARLEINSBACH;10;-3;-24,4%;19;1;5,5%;30;-2;-7,3%
41339-SCHLAEGL;9;1;9,2%;11;-2;-16,4%;20;-1;-6,6%
41340-SCHOENEGG;2;0;19,0%;6;0;8,2%;8;1;11,0%
41341-SCHWARZENBERG IM MUEHLKREIS;4;1;68,0%;9;0;0,0%;12;1;13,1%
41342-ULRICHSBERG;24;-1;-4,7%;44;-1;-1,5%;68;-2;-2,6%
Gesamt;345;-19;-5,2%;540;43;8,7%;885;24;2,8%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2010      Region:  Schärding 414;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
41401-ALTSCHWENDT;4;0;12,2%;9;2;21,5%;13;2;18,7%
41402-ANDORF;47;0;0,5%;81;5;7,2%;128;6;4,6%
41403-BRUNNENTHAL;18;1;5,9%;23;-6;-19,5%;41;-5;-9,9%
41404-DIERSBACH;13;0;0,7%;18;-3;-14,7%;30;-3;-9,0%
41405-DORF AN DER PRAM;7;0;5,2%;10;-2;-13,2%;17;-1;-6,6%
41406-EGGERDING;11;-2;-17,2%;13;-2;-11,0%;25;-4;-14,0%
41407-ENGELHARTSZELL;8;2;23,5%;11;1;5,5%;20;2;12,5%
41408-ENZENKIRCHEN;13;-1;-5,3%;28;-1;-3,5%;41;-2;-4,1%
41409-ESTERNBERG;14;0;-2,4%;33;4;15,3%;46;4;9,5%
41410-FREINBERG;10;1;5,4%;12;1;7,4%;22;1;6,5%
41411-KOPFING IM INNKREIS;11;-2;-12,8%;34;1;3,6%;45;-1;-1,1%
41412-MAYRHOF;2;-1;-28,6%;2;0;-21,7%;3;-1;-25,5%
41413-MUENZKIRCHEN;18;-9;-33,4%;34;-2;-4,8%;52;-11;-16,9%
41414-RAAB;22;-1;-5,1%;37;-1;-3,1%;59;-2;-3,8%
41415-RAINBACH IM INNKREIS;13;-1;-3,8%;19;1;8,1%;31;1;3,0%
41416-RIEDAU;23;-2;-8,8%;31;-5;-14,7%;54;-8;-12,2%
41417-SANKT AEGIDI;13;4;38,2%;21;-1;-2,3%;34;3;9,7%
41418-SANKT FLORIAN AM INN;36;-3;-7,1%;51;4;8,9%;87;1;1,7%
41419-SANKT MARIENKIRCHEN BEI SCHAERDING;17;0;-1,4%;22;2;8,8%;39;2;4,0%
41420-SANKT ROMAN;10;-2;-15,6%;20;2;9,2%;29;0;-0,3%
41421-SANKT WILLIBALD;8;-3;-30,8%;16;-2;-9,0%;24;-5;-17,4%
41422-SCHAERDING;69;-1;-1,3%;100;-8;-7,2%;169;-9;-4,9%
41423-SCHARDENBERG;14;-1;-4,1%;24;1;2,5%;38;0;0,0%
41424-SIGHARTING;6;0;-1,4%;14;1;10,7%;20;1;6,8%
41425-SUBEN;16;1;4,5%;16;-1;-3,9%;32;0;0,0%
41426-TAUFKIRCHEN AN DER PRAM;28;-1;-3,7%;45;-9;-16,4%;73;-10;-12,0%
41427-VICHTENSTEIN;6;1;10,0%;15;-2;-11,1%;20;-1;-6,2%
41428-WALDKIRCHEN AM WESEN;10;-1;-5,4%;15;1;9,9%;25;1;3,1%
41429-WERNSTEIN AM INN;14;0;0,6%;13;0;1,4%;27;0;0,9%
41430-ZELL AN DER PRAM;21;2;11,8%;19;-8;-29,8%;41;-6;-12,7%
Gesamt;499;-19;-3,7%;785;-24;-2,9%;1.284;-43;-3,2%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2010      Region:  Steyr 415;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40201-STEYR;711;-52;-6,9%;992;-153;-13,4%;1.703;-205;-10,8%
41501-ADLWANG;12;-1;-10,6%;18;-5;-20,5%;30;-6;-16,8%
41502-ASCHACH AN DER STEYR;20;-1;-4,5%;20;-2;-9,5%;39;-3;-7,1%
41503-BAD HALL;62;-4;-6,1%;83;-5;-5,2%;144;-9;-5,6%
41504-DIETACH;23;-4;-13,7%;37;0;0,4%;61;-4;-5,5%
41505-GAFLENZ;9;-5;-32,9%;12;-13;-51,2%;21;-17;-44,7%
41506-GARSTEN;51;-5;-9,0%;64;-13;-16,5%;115;-18;-13,3%
41507-GROSZRAMING;19;0;2,3%;24;-1;-5,2%;43;-1;-2,1%
41508-LAUSSA;11;-1;-11,2%;13;1;6,1%;24;-1;-2,4%
41509-LOSENSTEIN;14;-1;-8,8%;15;-4;-20,8%;29;-5;-15,5%
41510-MARIA NEUSTIFT;10;-2;-16,1%;15;-2;-10,2%;25;-4;-12,6%
41511-PFARRKIRCHEN BEI BAD HALL;17;-6;-25,5%;20;3;20,1%;38;-3;-6,2%
41512-REICHRAMING;14;-3;-16,7%;26;-2;-8,2%;40;-5;-11,4%
41513-ROHR IM KREMSTAL;12;-2;-17,3%;12;-4;-24,7%;23;-6;-21,2%
41514-SANKT ULRICH BEI STEYR;18;-5;-20,5%;22;-3;-11,6%;39;-7;-15,9%
41515-SCHIEDLBERG;7;-3;-27,2%;12;-3;-22,7%;19;-6;-24,4%
41516-SIERNING;109;7;7,1%;123;-7;-5,2%;233;0;0,2%
41517-TERNBERG;30;-6;-16,8%;39;-13;-25,1%;69;-19;-21,7%
41518-WALDNEUKIRCHEN;20;3;19,8%;15;-3;-17,0%;35;0;0,5%
41521-WOLFERN;19;-5;-19,4%;19;-6;-22,6%;38;-10;-21,0%
41522-WEYER;32;-5;-13,8%;47;-12;-20,6%;79;-17;-18,0%
Gesamt;1.218;-100;-7,6%;1.628;-246;-13,1%;2.846;-346;-10,8%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2010      Region:  Vöcklabruck 418;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
41701-AMPFLWANG IM HAUSRUCKWALD;39;0;-1,1%;53;-6;-9,9%;91;-6;-6,3%
41702-ATTERSEE;14;-1;-6,0%;17;-5;-24,3%;31;-6;-16,9%
41703-ATTNANG-PUCHHEIM;134;-8;-5,6%;187;-14;-7,2%;321;-22;-6,5%
41704-ATZBACH;6;0;-4,1%;8;-3;-26,8%;14;-3;-18,5%
41705-AURACH AM HONGAR;11;-3;-19,8%;15;-1;-6,7%;26;-4;-12,8%
41706-BERG IM ATTERGAU;9;0;1,0%;8;0;-1,1%;16;0;0,0%
41707-DESSELBRUNN;19;4;29,5%;16;0;-0,5%;35;4;13,7%
41708-FORNACH;9;-1;-12,1%;8;1;20,7%;17;0;1,0%
41709-FRANKENBURG AM HAUSRUCK;33;-4;-9,7%;52;-5;-8,7%;84;-8;-9,1%
41710-FRANKENMARKT;38;-3;-7,3%;37;-12;-25,0%;75;-15;-16,9%
41711-GAMPERN;16;0;-1,6%;24;3;15,8%;40;3;8,3%
41712-INNERSCHWAND;7;1;15,8%;8;1;14,8%;16;2;15,2%
41713-LENZING;57;-6;-10,0%;64;-13;-16,5%;121;-19;-13,6%
41714-MANNING;7;2;47,3%;8;1;13,6%;15;3;26,6%
41715-MONDSEE;37;-10;-22,1%;50;-5;-8,9%;87;-15;-15,0%
41716-NEUKIRCHEN AN DER VOECKLA;18;-2;-10,6%;21;0;0,0%;39;-2;-5,2%
41717-NIEDERTHALHEIM;4;2;85,2%;9;0;-3,8%;13;2;14,3%
41718-NUSZDORF AM ATTERSEE;6;0;3,1%;7;-1;-14,4%;13;-1;-7,7%
41719-OBERHOFEN AM IRRSEE;11;-3;-24,4%;13;-1;-4,4%;23;-4;-14,7%
41720-OBERNDORF BEI SCHWANENSTADT;11;0;-0,8%;12;-2;-12,7%;23;-2;-7,4%
41721-OBERWANG;9;0;-1,8%;14;0;2,5%;23;0;0,7%
41722-OTTNANG AM HAUSRUCK;37;2;5,4%;43;-3;-6,2%;80;-1;-1,1%
41723-PFAFFING;10;0;0,0%;10;-1;-7,5%;21;-1;-3,9%
41724-PILSBACH;3;-1;-23,1%;3;0;20,0%;5;0;-6,2%
41725-PITZENBERG;4;2;89,3%;4;-1;-22,6%;8;1;12,2%
41726-POENDORF;17;0;0,0%;23;-2;-7,7%;40;-2;-4,6%
41727-PUCHKIRCHEN AM TRATTBERG;7;-5;-45,1%;9;2;35,4%;16;-3;-15,6%
41728-PUEHRET;1;-1;-41,4%;6;0;1,4%;7;-1;-11,2%
41729-REDLEITEN;2;1;47,4%;4;0;-2,3%;6;1;12,7%
41730-REDLHAM;11;1;11,8%;14;-4;-22,1%;26;-3;-10,3%
41731-REGAU;59;2;2,8%;73;-6;-7,6%;132;-4;-3,2%
41732-RUESTORF;21;4;23,8%;24;2;9,2%;45;6;15,6%
41733-RUTZENHAM;1;-1;-62,5%;3;1;106,3%;4;0;5,0%
41734-SANKT GEORGEN IM ATTERGAU;49;-3;-6,4%;46;-6;-12,2%;94;-10;-9,3%
41735-SANKT LORENZ;15;-1;-7,8%;18;-1;-4,0%;33;-2;-5,8%
41736-SCHLATT;11;-5;-31,4%;13;-2;-10,1%;24;-7;-21,2%
41737-SCHOERFLING AM ATTERSEE;24;5;24,5%;33;-2;-6,1%;57;3;4,6%
41738-SCHWANENSTADT;68;-4;-5,9%;85;-7;-7,1%;152;-11;-6,6%
41739-SEEWALCHEN AM ATTERSEE;50;3;6,7%;49;-12;-19,1%;99;-8;-7,8%
41740-STEINBACH AM ATTERSEE;6;1;22,2%;4;-2;-34,2%;10;-1;-8,1%
41741-STRASZ IM ATTERGAU;12;4;59,6%;16;1;9,0%;28;6;25,9%
41742-TIEFGRABEN;23;2;7,5%;31;2;6,6%;54;4;7,0%
41743-TIMELKAM;52;-6;-10,0%;61;-9;-12,7%;113;-15;-11,5%
41744-UNGENACH;12;-6;-35,2%;9;-3;-21,7%;21;-9;-29,8%
41745-UNTERACH AM ATTERSEE;12;1;9,7%;15;-1;-5,9%;27;0;0,6%
41746-VOECKLABRUCK;142;-17;-10,6%;190;-12;-5,8%;332;-29;-7,9%
41747-VOECKLAMARKT;45;-5;-10,5%;60;-22;-26,9%;104;-27;-20,7%
41748-WEISZENKIRCHEN IM ATTERGAU;5;0;-1,5%;5;1;41,0%;10;1;14,4%
41749-WEYREGG AM ATTERSEE;13;-1;-3,7%;13;-1;-6,9%;26;-2;-5,4%
41750-WOLFSEGG AM HAUSRUCK;18;2;12,8%;26;0;0,3%;44;2;5,0%
41751-ZELL AM MOOS;9;-1;-10,9%;11;-3;-18,5%;20;-4;-15,3%
41752-ZELL AM PETTENFIRST;8;-3;-28,1%;15;2;11,5%;23;-2;-6,9%
Gesamt;1.240;-65;-5,0%;1.544;-146;-8,6%;2.783;-211;-7,0%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2010      Region:  Wels 419;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40301-WELS;837;7;0,9%;1.278;-6;-0,5%;2.115;1;0,1%
41801-AICHKIRCHEN;4;-1;-19,0%;5;1;17,6%;9;0;-1,8%
41802-BACHMANNING;5;-2;-27,0%;6;0;7,9%;10;-1;-10,9%
41803-BAD WIMSBACH-NEYDHARTING;18;-2;-9,1%;28;-3;-9,6%;47;-5;-9,4%
41804-BUCHKIRCHEN;22;2;12,3%;29;5;22,0%;51;8;17,6%
41805-EBERSTALZELL;17;3;23,6%;19;4;28,4%;36;7;26,1%
41806-EDT BEI LAMBACH;13;3;36,0%;18;-3;-14,4%;31;0;1,4%
41807-FISCHLHAM;7;1;7,4%;9;-1;-10,3%;16;-1;-3,0%
41808-GUNSKIRCHEN;48;-1;-2,9%;44;-1;-2,6%;92;-3;-2,7%
41809-HOLZHAUSEN;8;-2;-20,5%;11;-1;-8,7%;18;-3;-14,1%
41810-KRENGLBACH;20;-2;-9,2%;27;1;5,3%;46;-1;-1,4%
41811-LAMBACH;38;-2;-4,6%;53;-6;-10,6%;91;-8;-8,2%
41812-MARCHTRENK;137;13;10,1%;170;4;2,6%;307;17;5,8%
41813-NEUKIRCHEN BEI LAMBACH;6;-1;-8,1%;5;-1;-15,7%;11;-1;-11,8%
41814-OFFENHAUSEN;14;2;14,8%;18;1;6,0%;32;3;9,7%
41815-PENNEWANG;4;1;27,5%;6;1;17,7%;10;2;21,6%
41816-PICHL BEI WELS;22;2;11,4%;26;1;2,7%;48;3;6,5%
41817-SATTLEDT;21;-2;-9,2%;22;-3;-10,7%;43;-5;-10,0%
41818-SCHLEISZHEIM;7;-3;-27,8%;12;3;39,0%;19;1;3,3%
41819-SIPBACHZELL;15;3;20,5%;16;2;15,4%;30;5;17,9%
41820-STADL-PAURA;65;-1;-1,9%;87;4;4,4%;153;2;1,6%
41821-STEINERKIRCHEN AN DER TRAUN;16;1;7,2%;14;0;-0,6%;30;1;3,4%
41822-STEINHAUS;9;-4;-27,7%;18;5;39,1%;27;1;5,2%
41823-THALHEIM BEI WELS;48;0;0,0%;54;-5;-8,2%;102;-5;-4,5%
41824-WEISZKIRCHEN AN DER TRAUN;26;-3;-11,2%;26;-2;-6,7%;52;-5;-9,0%
Gesamt;1.427;13;0,9%;1.997;-1;-0,1%;3.424;11;0,3%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2010      Region:  Traun (mit ZWS) 421;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
41001-ALLHAMING;8;-2;-20,3%;13;1;10,3%;21;-1;-3,4%
41002-ANSFELDEN;167;5;3,1%;272;-11;-3,7%;439;-5;-1,2%
41003-ASTEN;58;3;5,8%;71;-8;-9,6%;129;-4;-3,3%
41004-EGGENDORF IM TRAUNKREIS;5;2;61,5%;8;2;30,3%;14;4;40,9%
41005-ENNS;95;-5;-5,2%;153;-35;-18,5%;248;-40;-13,9%
41006-HARGELSBERG;6;1;22,0%;9;1;15,2%;15;2;17,9%
41007-HOERSCHING;58;12;24,7%;75;4;5,5%;133;15;13,1%
41008-HOFKIRCHEN IM TRAUNKREIS;12;2;23,3%;13;2;14,5%;24;4;18,6%
41009-KEMATEN AN DER KREMS;20;1;5,2%;26;1;2,0%;46;2;3,3%
41010-KIRCHBERG-THENING;14;-2;-13,0%;18;2;10,5%;32;0;-1,3%
41011-KRONSTORF;27;1;3,2%;34;-5;-12,2%;61;-4;-5,9%
41012-LEONDING;187;20;12,2%;276;14;5,2%;463;34;7,9%
41013-MARKT SANKT FLORIAN;30;-5;-15,0%;36;0;-0,7%;66;-6;-7,8%
41014-NEUHOFEN AN DER KREMS;40;-4;-9,3%;48;-4;-7,7%;87;-8;-8,5%
41015-NIEDERNEUKIRCHEN;8;0;-2,0%;13;0;-0,7%;21;0;-1,2%
41016-OFTERING;10;-2;-18,9%;15;3;26,7%;25;1;3,7%
41017-PASCHING;50;-1;-1,0%;71;1;1,6%;121;1;0,5%
41018-PIBERBACH;11;-3;-24,0%;15;0;2,2%;26;-3;-10,6%
41019-PUCKING;25;0;-1,6%;29;-3;-8,6%;55;-3;-5,5%
41020-SANKT MARIEN;26;-1;-2,8%;32;0;0,8%;58;-1;-0,8%
41021-TRAUN;252;2;0,9%;449;-4;-1,0%;702;-2;-0,3%
41022-WILHERING;26;-5;-15,1%;39;2;4,2%;65;-3;-4,5%
Gesamt;1.137;18;1,6%;1.716;-38;-2,2%;2.853;-20;-0,7%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
