;Arbeitslosigkeit;;;;;;;;
41227-SANKT MARIENKIRCHEN AM HAUSRUCK;5;-2;-30,1%;9;3;50,0%;13;1;6,0%
41228-SANKT MARTIN IM INNKREIS;17;1;3,6%;22;1;6,3%;39;2;5,2%
41229-SCHILDORN;7;-1;-8,4%;12;-2;-13,5%;20;-3;-11,7%
41230-SENFTENBACH;3;-1;-15,9%;11;0;-2,2%;14;-1;-5,6%
41231-TAISKIRCHEN IM INNKREIS;20;-1;-3,9%;30;6;27,5%;50;6;12,5%
41232-TUMELTSHAM;17;5;41,4%;16;4;31,1%;33;9;36,2%
41233-UTZENAICH;14;2;20,0%;20;3;15,6%;34;5;17,3%
41234-WALDZELL;15;1;3,4%;32;7;25,9%;47;7;17,7%
41235-WEILBACH;4;0;0,0%;5;0;0,0%;9;0;0,0%
41236-WIPPENHAM;3;-2;-42,6%;8;0;-2,2%;10;-2;-17,0%
Gesamt;544;10;1,9%;753;54;7,8%;1.296;64;5,2%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2014      Region:  Rohrbach 413;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
41301-AFIESL;1;1;166,7%;3;1;39,3%;5;2;61,8%
41302-AHORN;5;1;29,2%;3;-1;-17,8%;8;1;6,5%
41303-AIGEN IM MUEHLKREIS;16;2;15,4%;21;-2;-9,8%;37;0;-0,7%
41304-ALTENFELDEN;16;5;43,2%;21;0;0,4%;37;5;15,2%
41305-ARNREIT;8;-1;-7,2%;8;-1;-10,8%;16;-2;-9,1%
41306-ATZESBERG;4;1;34,4%;5;1;33,3%;8;2;33,8%
41307-AUBERG;2;-1;-34,4%;4;-1;-23,9%;6;-2;-27,3%
41308-BERG BEI ROHRBACH;20;5;32,2%;25;1;3,8%;45;6;14,5%
41309-HASLACH AN DER MUEHL;26;8;43,1%;24;3;12,5%;50;10;26,5%
41310-HELFENBERG;5;0;-4,7%;13;4;38,5%;18;3;22,5%
41311-HOERBICH;0;-1;-72,7%;2;-1;-27,0%;3;-2;-37,5%
41312-HOFKIRCHEN IM MUEHLKREIS;12;0;1,4%;15;3;21,8%;27;3;11,7%
41313-JULBACH;15;5;46,2%;21;2;11,4%;36;7;23,3%
41314-KIRCHBERG OB DER DONAU;7;1;16,4%;10;1;5,9%;17;2;9,7%
41315-KLAFFER;11;2;26,2%;19;-3;-14,2%;30;-1;-2,7%
41316-KLEINZELL IM MUEHLKREIS;7;1;12,5%;14;3;26,2%;20;4;21,3%
41317-KOLLERSCHLAG;7;-3;-30,4%;14;-2;-10,5%;20;-5;-18,2%
41318-LEMBACH IM MUEHLKREIS;8;1;21,0%;20;6;39,0%;28;7;33,2%
41319-LICHTENAU IM MUEHLKREIS;0;-4;-90,2%;5;2;53,7%;6;-2;-26,1%
41320-NEBELBERG;4;2;126,1%;2;0;-3,6%;7;2;54,9%
41321-NEUFELDEN;8;3;47,8%;11;-1;-9,3%;19;2;9,2%
41322-NIEDERKAPPEL;3;0;-8,3%;12;3;32,1%;15;3;22,1%
41323-NIEDERWALDKIRCHEN;9;-1;-8,5%;11;1;12,5%;20;0;2,1%
41324-OBERKAPPEL;6;0;6,0%;8;1;14,8%;14;1;10,8%
41325-OEPPING;9;3;49,3%;20;2;12,3%;28;5;21,4%
41326-PEILSTEIN IM MUEHLVIERTEL;11;-1;-5,2%;15;4;40,5%;26;4;17,3%
41327-PFARRKIRCHEN IM MUEHLKREIS;7;-1;-11,4%;17;2;11,6%;23;1;4,1%
41328-PUTZLEINSDORF;8;-1;-8,3%;15;2;17,1%;23;1;6,5%
41329-NEUSTIFT IM MUEHLKREIS;12;1;11,0%;9;0;-0,9%;21;1;5,4%
41330-ROHRBACH IN OBEROESTERREICH;19;1;5,0%;31;9;39,9%;50;10;24,0%
41331-SANKT JOHANN AM WIMBERG;6;-1;-9,0%;6;-2;-24,1%;11;-2;-17,0%
41332-SANKT MARTIN IM MUEHLKREIS;29;3;13,4%;31;3;9,5%;60;6;11,4%
41333-SANKT OSWALD BEI HASLACH;2;-1;-19,4%;5;0;-3,4%;7;-1;-9,5%
41334-SANKT PETER AM WIMBERG;11;2;17,8%;9;0;0,0%;20;2;8,7%
41335-SANKT STEFAN AM WALDE;3;-1;-33,3%;5;2;38,3%;8;0;1,0%
41336-SANKT ULRICH IM MUEHLKREIS;2;-2;-38,3%;8;3;65,6%;11;2;20,4%
41337-SANKT VEIT IM MUEHLKREIS;7;0;6,8%;7;2;48,3%;14;3;25,4%
41338-SARLEINSBACH;9;0;0,9%;20;2;8,9%;30;2;6,3%
41339-SCHLAEGL;9;2;32,5%;10;-3;-21,0%;19;-1;-3,0%
41340-SCHOENEGG;2;0;-10,3%;3;0;2,8%;5;0;-3,1%
41341-SCHWARZENBERG IM MUEHLKREIS;3;-1;-18,6%;9;2;27,2%;12;1;11,3%
41342-ULRICHSBERG;24;-2;-7,2%;43;0;1,0%;67;-1;-2,1%
Gesamt;369;31;9,2%;556;46;9,1%;925;78;9,2%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2014      Region:  Schärding 414;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
41401-ALTSCHWENDT;5;-1;-17,9%;6;-1;-16,3%;11;-2;-17,1%
41402-ANDORF;55;6;11,6%;80;-2;-2,5%;135;4;2,8%
41403-BRUNNENTHAL;19;-2;-11,2%;22;1;4,4%;40;-1;-3,4%
41404-DIERSBACH;10;1;6,1%;19;-1;-3,8%;29;0;-0,6%
41405-DORF AN DER PRAM;12;4;50,0%;10;2;21,3%;21;6;35,5%
41406-EGGERDING;13;1;6,4%;12;-2;-15,2%;25;-1;-5,4%
41407-ENGELHARTSZELL;12;2;22,3%;10;2;18,6%;22;4;20,6%
41408-ENZENKIRCHEN;16;1;4,3%;31;6;23,4%;47;7;16,1%
41409-ESTERNBERG;15;1;7,2%;31;1;3,0%;46;2;4,4%
41410-FREINBERG;11;1;10,3%;13;1;7,5%;24;2;8,7%
41411-KOPFING IM INNKREIS;14;-2;-12,4%;28;1;3,4%;41;-1;-2,4%
41412-MAYRHOF;1;0;21,4%;3;1;36,0%;4;1;30,8%
41413-MUENZKIRCHEN;18;0;0,0%;31;-3;-8,7%;48;-3;-5,7%
41414-RAAB;24;6;30,5%;35;2;7,0%;59;8;15,6%
41415-RAINBACH IM INNKREIS;10;1;8,5%;18;2;10,9%;27;3;10,0%
41416-RIEDAU;25;-3;-10,8%;33;2;5,2%;58;-1;-2,2%
41417-SANKT AEGIDI;10;1;15,7%;24;2;8,6%;35;3;10,6%
41418-SANKT FLORIAN AM INN;37;-2;-5,2%;43;0;0,2%;80;-2;-2,3%
41419-SANKT MARIENKIRCHEN BEI SCHAERDING;19;1;4,0%;23;0;-1,4%;42;0;1,0%
41420-SANKT ROMAN;13;0;3,4%;21;0;-1,2%;34;0;0,5%
41421-SANKT WILLIBALD;8;-1;-13,5%;14;-4;-21,9%;22;-5;-19,2%
41422-SCHAERDING;79;2;2,2%;111;11;11,1%;189;13;7,2%
41423-SCHARDENBERG;15;-4;-21,4%;23;-2;-8,5%;37;-6;-14,1%
41424-SIGHARTING;6;2;32,1%;14;0;1,2%;21;2;8,8%
41425-SUBEN;13;1;10,6%;19;1;2,7%;32;2;5,7%
41426-TAUFKIRCHEN AN DER PRAM;29;0;-0,3%;45;1;1,1%;74;0;0,6%
41427-VICHTENSTEIN;6;0;-2,9%;14;3;24,3%;20;3;15,1%
41428-WALDKIRCHEN AM WESEN;8;-1;-14,8%;14;2;18,1%;21;1;3,7%
41429-WERNSTEIN AM INN;13;-1;-6,5%;15;1;7,7%;28;0;0,6%
41430-ZELL AN DER PRAM;21;1;2,9%;23;3;17,4%;44;4;10,1%
Gesamt;534;12;2,3%;784;27;3,6%;1.318;39;3,1%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2014      Region:  Steyr 415;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40201-STEYR;936;64;7,3%;1.207;79;7,0%;2.143;142;7,1%
41501-ADLWANG;15;5;49,2%;19;-3;-15,5%;34;2;4,7%
41502-ASCHACH AN DER STEYR;18;2;14,7%;19;3;19,3%;36;5;17,0%
41503-BAD HALL;77;-3;-3,9%;88;3;3,2%;165;0;-0,3%
41504-DIETACH;30;5;21,2%;31;0;-0,5%;60;5;9,0%
41505-GAFLENZ;15;1;5,9%;14;-5;-24,7%;29;-4;-11,6%
41506-GARSTEN;53;1;1,1%;74;7;10,5%;127;8;6,4%
41507-GROSZRAMING;18;2;9,5%;27;4;19,2%;45;6;15,0%
41508-LAUSSA;10;-2;-15,4%;14;-1;-4,1%;23;-2;-9,1%
41509-LOSENSTEIN;15;-1;-6,7%;22;1;5,1%;37;0;0,0%
41510-MARIA NEUSTIFT;14;3;33,9%;13;1;7,5%;27;4;19,5%
41511-PFARRKIRCHEN BEI BAD HALL;27;7;37,1%;24;0;-1,7%;50;7;15,6%
41512-REICHRAMING;21;2;9,1%;32;5;19,9%;53;7;15,4%
41513-ROHR IM KREMSTAL;16;1;6,9%;14;-1;-5,2%;29;0;0,9%
41514-SANKT ULRICH BEI STEYR;28;7;30,5%;25;-2;-6,9%;53;5;9,8%
41515-SCHIEDLBERG;8;0;-4,9%;15;1;10,6%;23;1;4,6%
41516-SIERNING;134;13;11,0%;164;22;15,0%;298;35;13,2%
41517-TERNBERG;33;0;0,8%;42;6;15,2%;75;6;8,4%
41518-WALDNEUKIRCHEN;25;2;10,4%;25;3;15,7%;50;6;13,0%
41521-WOLFERN;22;-2;-9,7%;29;1;4,9%;51;-1;-1,9%
41522-WEYER;40;3;7,2%;52;2;4,2%;92;5;5,5%
Gesamt;1.551;109;7,5%;1.949;127;7,0%;3.500;235;7,2%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2014      Region:  Vöcklabruck 418;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
41701-AMPFLWANG IM HAUSRUCKWALD;44;2;4,8%;65;5;9,3%;109;8;7,4%
41702-ATTERSEE;16;0;-1,5%;17;0;1,0%;33;0;-0,2%
41703-ATTNANG-PUCHHEIM;170;15;9,6%;217;9;4,3%;387;24;6,5%
41704-ATZBACH;10;4;65,7%;13;3;31,4%;23;7;44,1%
41705-AURACH AM HONGAR;11;-3;-22,5%;19;3;20,0%;30;0;-0,3%
41706-BERG IM ATTERGAU;8;1;15,0%;8;-2;-22,9%;15;-1;-7,6%
41707-DESSELBRUNN;15;2;14,6%;16;2;17,5%;31;4;16,1%
41708-FORNACH;6;-2;-25,0%;8;0;2,1%;14;-2;-11,2%
41709-FRANKENBURG AM HAUSRUCK;50;14;36,7%;59;7;13,8%;109;21;23,4%
41710-FRANKENMARKT;46;9;22,6%;57;0;0,3%;103;9;9,2%
41711-GAMPERN;17;-4;-17,1%;20;3;16,7%;37;-1;-1,5%
41712-INNERSCHWAND;8;1;18,4%;8;2;26,7%;15;3;22,5%
41713-LENZING;60;-1;-1,9%;77;5;7,2%;137;4;3,0%
41714-MANNING;6;0;-1,4%;8;1;12,2%;14;1;5,8%
41715-MONDSEE;46;-1;-1,1%;50;9;22,3%;95;9;9,9%
41716-NEUKIRCHEN AN DER VOECKLA;22;4;25,2%;18;0;-0,5%;40;4;12,3%
41717-NIEDERTHALHEIM;5;1;13,0%;12;1;12,3%;17;2;12,5%
41718-NUSZDORF AM ATTERSEE;7;0;-4,7%;12;-1;-7,7%;19;-1;-6,6%
41719-OBERHOFEN AM IRRSEE;14;2;15,6%;18;4;25,7%;32;6;21,2%
41720-OBERNDORF BEI SCHWANENSTADT;14;4;44,4%;18;-1;-5,6%;32;3;11,2%
41721-OBERWANG;9;1;8,4%;17;4;26,8%;26;4;20,1%
41722-OTTNANG AM HAUSRUCK;38;6;19,7%;52;4;7,2%;90;10;12,2%
41723-PFAFFING;14;1;10,2%;11;1;14,3%;26;3;12,0%
41724-PILSBACH;3;0;-3,2%;6;1;23,6%;8;1;14,0%
41725-PITZENBERG;4;-2;-30,3%;4;1;35,5%;7;-1;-9,3%
41726-POENDORF;20;1;6,8%;19;-1;-2,5%;39;1;2,0%
41727-PUCHKIRCHEN AM TRATTBERG;6;-1;-7,5%;11;2;17,2%;18;1;7,1%
41728-PUEHRET;3;0;0,0%;5;2;61,5%;8;2;34,3%
41729-REDLEITEN;5;2;55,6%;5;3;107,1%;10;4;78,1%
41730-REDLHAM;18;6;44,7%;20;4;28,5%;38;10;35,8%
41731-REGAU;58;-10;-14,7%;74;1;1,6%;132;-9;-6,3%
41732-RUESTORF;25;4;20,4%;29;5;22,3%;54;10;21,4%
41733-RUTZENHAM;3;1;55,0%;2;1;58,8%;5;2;56,8%
41734-SANKT GEORGEN IM ATTERGAU;49;6;13,5%;54;-1;-2,3%;102;5;4,6%
41735-SANKT LORENZ;22;5;30,5%;27;5;22,8%;49;10;26,1%
41736-SCHLATT;12;-1;-6,6%;11;-1;-4,2%;23;-1;-5,5%
41737-SCHOERFLING AM ATTERSEE;34;8;32,3%;40;3;7,4%;74;11;17,6%
41738-SCHWANENSTADT;64;-2;-2,6%;78;-6;-7,3%;141;-8;-5,2%
41739-SEEWALCHEN AM ATTERSEE;54;6;11,7%;56;13;28,8%;110;18;19,8%
41740-STEINBACH AM ATTERSEE;6;-2;-28,4%;5;-1;-20,5%;11;-4;-25,1%
41741-STRASZ IM ATTERGAU;16;1;7,2%;19;1;5,1%;35;2;6,1%
41742-TIEFGRABEN;28;6;28,4%;39;3;7,1%;67;9;15,0%
41743-TIMELKAM;68;3;5,3%;67;1;1,5%;134;4;3,4%
41744-UNGENACH;12;2;20,3%;12;0;0,7%;24;2;9,6%
41745-UNTERACH AM ATTERSEE;20;5;35,2%;15;-1;-3,7%;35;5;15,2%
41746-VOECKLABRUCK;186;25;15,6%;230;0;0,1%;416;26;6,5%
41747-VOECKLAMARKT;45;-1;-2,0%;63;3;4,6%;108;2;1,7%
41748-WEISZENKIRCHEN IM ATTERGAU;6;1;29,4%;6;-1;-14,6%;12;0;1,4%
41749-WEYREGG AM ATTERSEE;13;-2;-13,3%;10;0;0,8%;23;-2;-7,5%
41750-WOLFSEGG AM HAUSRUCK;23;4;20,9%;31;5;18,2%;54;9;19,3%
41751-ZELL AM MOOS;10;-2;-12,9%;12;-2;-15,5%;22;-4;-14,3%
41752-ZELL AM PETTENFIRST;14;4;46,9%;17;1;4,1%;31;5;19,9%
Gesamt;1.456;125;9,4%;1.766;100;6,0%;3.222;224;7,5%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2014      Region:  Wels 419;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40301-WELS;1.197;186;18,4%;1.622;248;18,1%;2.819;435;18,2%
41801-AICHKIRCHEN;6;2;47,9%;3;-1;-25,6%;9;1;13,2%
41802-BACHMANNING;4;-1;-22,0%;9;1;6,8%;13;-1;-3,7%
41803-BAD WIMSBACH-NEYDHARTING;20;5;34,5%;32;9;37,6%;52;14;36,4%
41804-BUCHKIRCHEN;23;1;3,7%;33;5;18,3%;57;6;11,8%
41805-EBERSTALZELL;20;9;79,3%;24;3;15,8%;45;12;37,9%
41806-EDT BEI LAMBACH;21;5;35,2%;21;6;39,7%;42;11;37,4%
41807-FISCHLHAM;5;-1;-11,0%;14;1;10,1%;19;1;3,2%
41808-GUNSKIRCHEN;45;1;1,3%;66;14;27,3%;110;15;15,3%
41809-HOLZHAUSEN;9;1;7,1%;14;2;16,2%;23;3;12,6%
41810-KRENGLBACH;25;3;13,9%;31;7;28,9%;56;10;21,8%
41811-LAMBACH;47;4;10,3%;75;11;16,8%;123;15;14,2%
41812-MARCHTRENK;160;20;14,0%;211;42;24,9%;371;62;20,0%
41813-NEUKIRCHEN BEI LAMBACH;6;0;3,0%;10;2;21,2%;16;2;13,9%
41814-OFFENHAUSEN;16;5;42,9%;23;4;17,9%;39;8;26,9%
41815-PENNEWANG;9;3;52,7%;4;-1;-23,2%;14;2;16,1%
41816-PICHL BEI WELS;26;5;23,8%;34;10;39,5%;60;15;32,3%
41817-SATTLEDT;26;5;22,4%;30;4;14,1%;55;8;17,8%
41818-SCHLEISZHEIM;12;0;-0,7%;12;3;34,3%;24;3;14,3%
41819-SIPBACHZELL;15;1;10,6%;17;2;9,7%;32;3;10,1%
41820-STADL-PAURA;83;23;37,6%;100;10;11,1%;183;33;21,7%
41821-STEINERKIRCHEN AN DER TRAUN;16;3;21,5%;17;4;32,1%;33;7;26,8%
41822-STEINHAUS;13;2;12,6%;15;-3;-16,4%;29;-2;-5,0%
41823-THALHEIM BEI WELS;61;4;6,4%;64;4;5,8%;125;7;6,1%
41824-WEISZKIRCHEN AN DER TRAUN;28;-1;-4,3%;34;10;39,7%;62;8;15,6%
Gesamt;1.891;283;17,6%;2.517;395;18,6%;4.408;678;18,2%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2014      Region:  Traun (mit ZWS) 421;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
41001-ALLHAMING;13;6;92,6%;18;8;82,1%;31;14;86,4%
41002-ANSFELDEN;229;29;14,3%;362;57;18,8%;590;86;17,0%
41003-ASTEN;72;-4;-5,3%;82;-2;-2,6%;155;-6;-3,9%
41004-EGGENDORF IM TRAUNKREIS;6;2;69,2%;10;2;25,3%;15;4;38,5%
41005-ENNS;156;20;14,5%;200;18;10,0%;356;38;11,9%
41006-HARGELSBERG;11;2;20,4%;9;0;-3,8%;19;2;8,4%
41007-HOERSCHING;55;11;24,1%;86;4;4,7%;141;15;11,5%
41008-HOFKIRCHEN IM TRAUNKREIS;16;-1;-4,5%;16;2;18,5%;31;2;5,6%
41009-KEMATEN AN DER KREMS;22;0;1,9%;33;5;17,6%;55;5;10,8%
41010-KIRCHBERG-THENING;12;-3;-22,3%;17;1;8,5%;29;-2;-6,5%
41011-KRONSTORF;33;2;6,2%;41;2;6,2%;74;4;6,2%
41012-LEONDING;277;42;17,7%;386;60;18,5%;664;102;18,2%
41013-MARKT SANKT FLORIAN;34;3;8,8%;44;8;21,1%;78;10;15,4%
41014-NEUHOFEN AN DER KREMS;52;10;23,8%;66;8;13,5%;119;18;17,9%
41015-NIEDERNEUKIRCHEN;14;6;77,7%;14;-2;-12,0%;27;4;18,3%
41016-OFTERING;10;-7;-39,7%;13;-1;-8,0%;23;-8;-24,9%
41017-PASCHING;75;12;18,6%;109;16;17,0%;183;27;17,6%
41018-PIBERBACH;18;8;89,4%;18;1;4,3%;36;9;34,2%
41019-PUCKING;33;3;10,6%;42;6;17,1%;75;9;14,1%
41020-SANKT MARIEN;42;13;44,6%;52;13;34,6%;94;26;39,0%
41021-TRAUN;361;53;17,2%;552;58;11,7%;913;111;13,8%
41022-WILHERING;29;-2;-5,4%;53;6;12,3%;81;4;5,3%
Gesamt;1.569;205;15,1%;2.221;270;13,9%;3.790;476;14,3%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
