;Arbeitslosigkeit;;;;;;;;
41224-REICHERSBERG;17;4;28,4%;15;-2;-10,4%;32;2;6,5%
41225-RIED IM INNKREIS;137;5;3,7%;166;6;3,9%;303;11;3,8%
41226-SANKT GEORGEN BEI OBERNBERG AM INN;2;-1;-35,7%;3;0;-5,9%;5;-1;-22,4%
41227-SANKT MARIENKIRCHEN AM HAUSRUCK;4;-4;-49,5%;6;3;83,3%;11;-1;-9,4%
41228-SANKT MARTIN IM INNKREIS;14;-4;-23,5%;18;0;0,5%;33;-4;-11,8%
41229-SCHILDORN;7;0;0,0%;10;0;-2,3%;17;0;-1,4%
41230-SENFTENBACH;4;-4;-50,6%;11;3;43,2%;15;0;-1,1%
41231-TAISKIRCHEN IM INNKREIS;20;-3;-14,0%;22;-2;-9,3%;42;-6;-11,7%
41232-TUMELTSHAM;7;-6;-42,9%;12;-2;-13,7%;19;-7;-27,6%
41233-UTZENAICH;10;1;8,0%;14;1;8,3%;24;2;8,2%
41234-WALDZELL;13;0;1,9%;23;0;-1,8%;36;0;-0,5%
41235-WEILBACH;4;-2;-35,2%;4;0;-4,5%;7;-2;-23,5%
41236-WIPPENHAM;3;0;-8,1%;6;2;48,9%;9;2;23,8%
Gesamt;495;-9;-1,8%;639;28;4,6%;1.134;19;1,7%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2012      Region:  Rohrbach 413;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
41301-AFIESL;2;0;0,0%;3;-1;-18,6%;4;-1;-13,1%
41302-AHORN;2;0;9,1%;2;0;0,0%;4;0;4,8%
41303-AIGEN IM MUEHLKREIS;11;1;7,2%;20;2;11,9%;32;3;10,2%
41304-ALTENFELDEN;11;-5;-32,0%;16;-1;-4,0%;27;-6;-18,1%
41305-ARNREIT;5;1;12,1%;8;0;-2,9%;14;0;2,5%
41306-ATZESBERG;3;0;14,3%;3;-1;-27,9%;6;-1;-9,0%
41307-AUBERG;2;0;12,0%;4;0;-3,8%;7;0;1,3%
41308-BERG BEI ROHRBACH;13;-2;-11,1%;20;-1;-4,0%;33;-2;-6,9%
41309-HASLACH AN DER MUEHL;20;6;43,2%;14;-4;-19,6%;35;3;8,1%
41310-HELFENBERG;5;1;14,8%;8;1;15,5%;13;2;15,2%
41311-HOERBICH;1;0;0,0%;3;1;77,8%;4;1;43,8%
41312-HOFKIRCHEN IM MUEHLKREIS;8;-1;-9,3%;11;1;11,5%;19;0;1,4%
41313-JULBACH;8;-4;-30,3%;20;4;22,2%;28;0;0,0%
41314-KIRCHBERG OB DER DONAU;8;-1;-6,6%;9;0;0,0%;17;-1;-3,3%
41315-KLAFFER;9;0;-2,7%;18;2;12,8%;27;2;7,0%
41316-KLEINZELL IM MUEHLKREIS;5;-3;-37,4%;10;0;2,5%;15;-3;-15,6%
41317-KOLLERSCHLAG;7;-3;-28,8%;14;1;6,8%;21;-2;-8,2%
41318-LEMBACH IM MUEHLKREIS;9;2;21,8%;16;2;15,4%;24;4;17,7%
41319-LICHTENAU IM MUEHLKREIS;3;1;71,4%;3;-1;-15,6%;6;1;12,1%
41320-NEBELBERG;2;-1;-33,3%;3;0;3,2%;5;-1;-16,4%
41321-NEUFELDEN;8;-4;-32,8%;11;3;30,3%;18;-1;-6,4%
41322-NIEDERKAPPEL;2;-1;-33,3%;5;-2;-28,9%;8;-3;-30,2%
41323-NIEDERWALDKIRCHEN;6;0;7,8%;9;0;-1,9%;14;0;1,8%
41324-OBERKAPPEL;5;2;48,6%;6;1;15,5%;10;2;28,4%
41325-OEPPING;9;-1;-9,7%;15;1;7,8%;24;0;0,3%
41326-PEILSTEIN IM MUEHLVIERTEL;8;2;28,9%;10;-1;-10,9%;18;1;3,9%
41327-PFARRKIRCHEN IM MUEHLKREIS;6;-1;-12,3%;12;3;30,1%;18;2;12,4%
41328-PUTZLEINSDORF;8;2;36,5%;9;1;9,1%;17;3;20,8%
41329-NEUSTIFT IM MUEHLKREIS;5;-2;-24,4%;9;0;-3,8%;14;-2;-12,8%
41330-ROHRBACH IN OBEROESTERREICH;17;2;12,1%;19;0;-0,4%;36;2;5,2%
41331-SANKT JOHANN AM WIMBERG;5;1;22,6%;7;4;131,4%;12;5;65,9%
41332-SANKT MARTIN IM MUEHLKREIS;22;4;22,5%;24;0;1,4%;46;4;10,4%
41333-SANKT OSWALD BEI HASLACH;3;-2;-34,6%;6;0;5,9%;9;-1;-11,7%
41334-SANKT PETER AM WIMBERG;8;1;14,3%;8;0;1,0%;16;1;7,1%
41335-SANKT STEFAN AM WALDE;5;1;18,5%;5;-1;-14,5%;10;0;0,0%
41336-SANKT ULRICH IM MUEHLKREIS;4;2;78,6%;5;0;10,0%;9;2;34,6%
41337-SANKT VEIT IM MUEHLKREIS;6;3;87,5%;5;2;40,0%;12;4;62,4%
41338-SARLEINSBACH;7;-2;-22,3%;15;-2;-9,0%;22;-4;-13,8%
41339-SCHLAEGL;4;-4;-46,2%;11;2;20,2%;16;-2;-9,7%
41340-SCHOENEGG;3;2;342,9%;4;1;15,4%;6;3;65,2%
41341-SCHWARZENBERG IM MUEHLKREIS;3;1;17,1%;6;-1;-7,6%;10;0;0,0%
41342-ULRICHSBERG;23;0;-1,5%;43;6;17,1%;66;6;10,0%
Gesamt;304;-1;-0,4%;446;23;5,5%;750;22;3,0%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2012      Region:  Schärding 414;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
41401-ALTSCHWENDT;4;-1;-15,7%;4;-1;-13,1%;8;-1;-14,3%
41402-ANDORF;51;-4;-6,6%;70;2;2,5%;120;-2;-1,6%
41403-BRUNNENTHAL;21;5;27,5%;19;0;-0,4%;40;5;12,7%
41404-DIERSBACH;14;2;13,2%;18;2;12,9%;32;4;13,0%
41405-DORF AN DER PRAM;7;1;8,1%;8;0;-3,0%;15;0;1,7%
41406-EGGERDING;12;1;9,0%;13;1;8,6%;25;2;8,8%
41407-ENGELHARTSZELL;10;2;17,9%;9;1;10,0%;20;2;14,1%
41408-ENZENKIRCHEN;13;5;54,9%;24;0;-1,0%;37;4;13,4%
41409-ESTERNBERG;14;-3;-19,6%;27;-1;-3,6%;41;-4;-9,6%
41410-FREINBERG;9;-2;-19,1%;8;-1;-14,7%;17;-3;-17,1%
41411-KOPFING IM INNKREIS;12;0;-2,0%;25;-3;-10,4%;37;-3;-7,8%
41412-MAYRHOF;1;-1;-26,1%;2;1;108,3%;4;1;20,0%
41413-MUENZKIRCHEN;17;2;15,3%;29;1;3,6%;46;3;7,6%
41414-RAAB;21;1;3,3%;27;-2;-6,6%;48;-1;-2,5%
41415-RAINBACH IM INNKREIS;9;-1;-10,7%;14;0;-2,3%;23;-1;-5,8%
41416-RIEDAU;30;4;14,6%;30;5;18,5%;60;9;16,5%
41417-SANKT AEGIDI;11;-2;-14,0%;21;3;16,6%;32;1;4,1%
41418-SANKT FLORIAN AM INN;38;0;-0,9%;44;2;5,2%;81;2;2,3%
41419-SANKT MARIENKIRCHEN BEI SCHAERDING;21;4;20,8%;20;-2;-7,9%;40;2;5,0%
41420-SANKT ROMAN;11;0;3,1%;19;1;4,6%;30;1;4,0%
41421-SANKT WILLIBALD;10;2;30,0%;13;0;2,0%;23;3;12,4%
41422-SCHAERDING;71;-2;-2,2%;89;2;2,2%;159;0;0,2%
41423-SCHARDENBERG;20;6;44,5%;24;4;22,5%;43;10;31,6%
41424-SIGHARTING;4;-1;-23,4%;13;1;7,6%;17;0;-1,9%
41425-SUBEN;11;-4;-27,0%;13;-3;-19,2%;24;-7;-23,0%
41426-TAUFKIRCHEN AN DER PRAM;28;1;2,8%;42;2;5,2%;70;3;4,2%
41427-VICHTENSTEIN;4;-3;-41,1%;12;1;6,7%;16;-2;-10,1%
41428-WALDKIRCHEN AM WESEN;10;-4;-26,9%;10;1;8,7%;21;-3;-12,6%
41429-WERNSTEIN AM INN;15;1;7,2%;12;2;22,7%;27;3;13,6%
41430-ZELL AN DER PRAM;16;-1;-4,5%;17;-1;-5,6%;33;-2;-5,1%
Gesamt;513;6;1,2%;675;17;2,6%;1.188;23;2,0%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2012      Region:  Steyr 415;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40201-STEYR;750;93;14,2%;967;139;16,8%;1.718;233;15,7%
41501-ADLWANG;13;3;29,5%;15;4;37,9%;28;7;33,9%
41502-ASCHACH AN DER STEYR;16;0;2,6%;16;2;13,9%;33;2;8,0%
41503-BAD HALL;54;0;-0,2%;64;0;-0,1%;118;0;-0,1%
41504-DIETACH;17;-8;-32,5%;37;6;19,7%;53;-2;-3,6%
41505-GAFLENZ;10;2;26,3%;13;0;3,4%;23;3;12,7%
41506-GARSTEN;49;4;7,7%;59;5;8,6%;108;8;8,2%
41507-GROSZRAMING;15;-2;-10,7%;25;-2;-5,7%;40;-3;-7,6%
41508-LAUSSA;12;3;31,4%;10;1;13,9%;21;4;22,8%
41509-LOSENSTEIN;16;5;50,0%;16;2;16,9%;32;8;31,0%
41510-MARIA NEUSTIFT;8;0;-4,9%;12;-2;-12,3%;20;-2;-9,5%
41511-PFARRKIRCHEN BEI BAD HALL;14;-1;-8,6%;19;2;12,4%;33;1;2,3%
41512-REICHRAMING;19;4;30,4%;26;5;20,5%;45;9;24,4%
41513-ROHR IM KREMSTAL;14;4;36,3%;13;2;18,7%;27;6;27,1%
41514-SANKT ULRICH BEI STEYR;19;2;10,2%;18;3;20,1%;37;5;14,9%
41515-SCHIEDLBERG;10;2;31,0%;15;4;35,6%;24;6;33,8%
41516-SIERNING;107;7;6,8%;119;21;22,0%;226;28;14,3%
41517-TERNBERG;31;3;11,2%;32;5;17,1%;63;8;14,1%
41518-WALDNEUKIRCHEN;18;3;16,6%;18;3;17,9%;36;5;17,2%
41521-WOLFERN;20;0;2,2%;26;6;28,4%;46;6;15,6%
41522-WEYER;31;6;23,4%;40;4;11,5%;71;10;16,4%
Gesamt;1.242;130;11,7%;1.559;211;15,6%;2.801;341;13,8%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2012      Region:  Vöcklabruck 418;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
41701-AMPFLWANG IM HAUSRUCKWALD;38;-4;-9,2%;48;0;0,0%;86;-4;-4,3%
41702-ATTERSEE;15;0;1,6%;18;3;17,6%;34;3;9,8%
41703-ATTNANG-PUCHHEIM;140;11;8,3%;174;13;8,1%;314;24;8,2%
41704-ATZBACH;5;0;-7,2%;9;1;10,2%;14;0;3,0%
41705-AURACH AM HONGAR;13;-1;-6,7%;14;0;0,0%;27;-1;-3,3%
41706-BERG IM ATTERGAU;8;1;9,6%;8;2;39,1%;16;3;23,0%
41707-DESSELBRUNN;18;4;31,1%;13;0;-1,2%;31;4;14,9%
41708-FORNACH;5;-4;-41,5%;8;2;27,8%;13;-2;-13,5%
41709-FRANKENBURG AM HAUSRUCK;33;3;10,1%;49;-2;-3,1%;82;1;1,8%
41710-FRANKENMARKT;33;2;4,7%;44;8;21,6%;77;9;13,7%
41711-GAMPERN;18;1;6,9%;16;0;2,6%;34;2;4,8%
41712-INNERSCHWAND;6;1;22,4%;6;-1;-15,9%;12;0;-0,7%
41713-LENZING;54;-3;-4,6%;61;4;7,3%;115;2;1,4%
41714-MANNING;3;-2;-34,5%;5;-1;-22,9%;8;-3;-28,1%
41715-MONDSEE;37;-4;-8,8%;43;3;6,3%;80;-1;-1,2%
41716-NEUKIRCHEN AN DER VOECKLA;15;-2;-12,7%;15;-2;-9,4%;30;-4;-11,1%
41717-NIEDERTHALHEIM;5;-1;-12,9%;11;3;40,0%;15;2;18,4%
41718-NUSZDORF AM ATTERSEE;8;1;15,4%;11;-1;-11,4%;19;0;-2,2%
41719-OBERHOFEN AM IRRSEE;9;0;-3,4%;12;0;2,9%;21;0;0,0%
41720-OBERNDORF BEI SCHWANENSTADT;7;-2;-25,2%;14;0;-1,2%;20;-2;-10,7%
41721-OBERWANG;8;2;38,9%;13;-1;-5,7%;21;2;8,2%
41722-OTTNANG AM HAUSRUCK;34;1;1,8%;48;14;39,8%;82;14;21,2%
41723-PFAFFING;12;1;13,8%;12;4;44,1%;24;5;27,6%
41724-PILSBACH;3;0;13,3%;4;2;62,1%;7;2;37,3%
41725-PITZENBERG;3;0;-5,0%;3;0;0,0%;6;0;-2,7%
41726-POENDORF;13;-1;-8,8%;15;-3;-16,6%;28;-4;-13,1%
41727-PUCHKIRCHEN AM TRATTBERG;7;-1;-9,2%;8;0;-4,9%;16;-1;-7,0%
41728-PUEHRET;3;1;40,0%;3;0;5,1%;6;1;18,8%
41729-REDLEITEN;2;0;23,8%;4;1;22,5%;6;1;23,0%
41730-REDLHAM;12;2;19,7%;18;3;23,1%;29;5;21,7%
41731-REGAU;61;2;2,7%;64;3;5,5%;124;5;4,1%
41732-RUESTORF;23;-1;-5,3%;18;-1;-5,7%;41;-2;-5,4%
41733-RUTZENHAM;2;0;21,7%;1;-1;-40,0%;3;0;-7,0%
41734-SANKT GEORGEN IM ATTERGAU;41;-2;-4,4%;49;1;2,8%;90;-1;-0,6%
41735-SANKT LORENZ;15;3;25,7%;16;-3;-15,0%;31;0;0,5%
41736-SCHLATT;16;2;13,0%;13;4;37,6%;29;6;23,1%
41737-SCHOERFLING AM ATTERSEE;27;7;33,3%;34;8;32,7%;61;15;33,0%
41738-SCHWANENSTADT;71;7;10,7%;64;-7;-9,4%;135;0;0,1%
41739-SEEWALCHEN AM ATTERSEE;41;-1;-2,4%;42;-2;-4,6%;82;-3;-3,5%
41740-STEINBACH AM ATTERSEE;6;0;-4,2%;7;2;29,4%;13;1;12,1%
41741-STRASZ IM ATTERGAU;9;-2;-16,5%;17;3;17,3%;26;1;2,6%
41742-TIEFGRABEN;22;1;6,0%;29;2;7,5%;51;3;6,9%
41743-TIMELKAM;52;0;-0,3%;57;3;6,3%;109;3;3,1%
41744-UNGENACH;10;-1;-5,7%;13;1;12,7%;22;1;3,9%
41745-UNTERACH AM ATTERSEE;8;-2;-20,3%;13;2;14,6%;21;0;-1,9%
41746-VOECKLABRUCK;144;12;9,2%;188;21;12,8%;332;33;11,2%
41747-VOECKLAMARKT;37;-1;-1,6%;53;4;8,7%;90;4;4,3%
41748-WEISZENKIRCHEN IM ATTERGAU;4;-1;-13,6%;5;0;-1,7%;9;-1;-7,7%
41749-WEYREGG AM ATTERSEE;11;-1;-6,9%;11;0;2,4%;22;-1;-2,6%
41750-WOLFSEGG AM HAUSRUCK;22;3;15,9%;22;-1;-5,4%;44;2;4,3%
41751-ZELL AM MOOS;14;5;52,7%;14;-1;-7,4%;28;4;16,0%
41752-ZELL AM PETTENFIRST;7;1;12,5%;13;4;45,4%;20;5;32,2%
Gesamt;1.208;39;3,3%;1.448;94;6,9%;2.655;132;5,2%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2012      Region:  Wels 419;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40301-WELS;881;72;8,9%;1.218;92;8,1%;2.099;164;8,5%
41801-AICHKIRCHEN;6;0;3,1%;3;0;-4,8%;9;0;0,0%
41802-BACHMANNING;5;2;63,2%;5;1;16,7%;10;3;35,9%
41803-BAD WIMSBACH-NEYDHARTING;19;0;0,9%;27;0;-0,6%;45;0;0,0%
41804-BUCHKIRCHEN;23;0;-0,4%;27;1;5,2%;50;1;2,6%
41805-EBERSTALZELL;13;0;-1,2%;18;1;8,1%;31;1;3,9%
41806-EDT BEI LAMBACH;16;3;27,7%;16;3;18,2%;32;6;22,7%
41807-FISCHLHAM;8;2;25,3%;10;-1;-12,6%;18;0;1,0%
41808-GUNSKIRCHEN;44;1;1,7%;40;2;5,1%;84;3;3,3%
41809-HOLZHAUSEN;6;1;26,2%;9;0;-3,6%;15;1;7,0%
41810-KRENGLBACH;24;4;19,9%;20;1;2,6%;44;5;11,4%
41811-LAMBACH;35;-2;-4,9%;54;3;5,5%;89;1;1,1%
41812-MARCHTRENK;122;16;14,9%;147;6;4,5%;268;22;8,9%
41813-NEUKIRCHEN BEI LAMBACH;3;-3;-51,9%;7;-1;-13,8%;10;-5;-31,2%
41814-OFFENHAUSEN;14;1;11,3%;15;-1;-5,4%;29;1;2,1%
41815-PENNEWANG;5;-1;-18,7%;4;2;126,1%;9;1;15,3%
41816-PICHL BEI WELS;19;-2;-9,7%;23;4;22,3%;43;2;5,3%
41817-SATTLEDT;17;-4;-19,1%;22;5;27,8%;39;1;2,0%
41818-SCHLEISZHEIM;9;2;26,7%;12;3;32,4%;21;5;29,9%
41819-SIPBACHZELL;11;-1;-9,2%;13;1;10,6%;24;0;0,7%
41820-STADL-PAURA;60;8;15,5%;79;3;3,7%;139;11;8,4%
41821-STEINERKIRCHEN AN DER TRAUN;15;2;11,7%;14;0;-0,6%;29;2;5,5%
41822-STEINHAUS;10;-5;-32,4%;18;2;14,6%;27;-2;-7,9%
41823-THALHEIM BEI WELS;42;-3;-7,2%;53;7;14,4%;95;3;3,8%
41824-WEISZKIRCHEN AN DER TRAUN;26;-1;-1,9%;23;4;19,5%;49;3;7,1%
Gesamt;1.433;92;6,9%;1.876;136;7,8%;3.309;228;7,4%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2012      Region:  Traun (mit ZWS) 421;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
41001-ALLHAMING;7;3;55,6%;9;0;-2,8%;16;2;16,7%
41002-ANSFELDEN;182;3;1,8%;276;18;6,8%;457;21;4,8%
41003-ASTEN;65;7;12,9%;70;14;25,3%;135;22;19,0%
41004-EGGENDORF IM TRAUNKREIS;3;-1;-22,0%;6;-2;-28,0%;9;-3;-26,2%
41005-ENNS;121;3;2,8%;163;26;18,8%;284;29;11,4%
41006-HARGELSBERG;9;2;33,7%;7;0;6,0%;17;3;19,8%
41007-HOERSCHING;51;0;0,2%;60;3;5,3%;111;3;2,9%
41008-HOFKIRCHEN IM TRAUNKREIS;12;1;5,0%;11;2;19,8%;23;2;11,3%
41009-KEMATEN AN DER KREMS;20;2;10,6%;23;1;6,5%;43;3;8,4%
41010-KIRCHBERG-THENING;11;-2;-13,8%;14;3;25,4%;25;1;4,1%
41011-KRONSTORF;20;-1;-6,6%;33;7;26,9%;53;6;11,6%
41012-LEONDING;212;22;11,7%;267;31;12,9%;479;53;12,4%
41013-MARKT SANKT FLORIAN;31;-2;-6,5%;35;-5;-11,5%;66;-7;-9,2%
41014-NEUHOFEN AN DER KREMS;43;3;7,9%;53;3;6,7%;97;7;7,2%
41015-NIEDERNEUKIRCHEN;11;1;15,0%;11;2;19,6%;22;3;17,3%
41016-OFTERING;11;1;12,6%;10;-2;-14,0%;21;0;-1,9%
41017-PASCHING;62;3;5,1%;74;8;11,9%;136;11;8,7%
41018-PIBERBACH;13;3;34,8%;15;1;10,5%;28;5;20,4%
41019-PUCKING;21;-1;-3,7%;26;-1;-4,6%;48;-2;-4,2%
41020-SANKT MARIEN;25;1;3,1%;35;6;18,6%;60;6;11,7%
41021-TRAUN;270;16;6,2%;417;7;1,7%;687;23;3,4%
41022-WILHERING;29;-1;-2,3%;36;4;13,7%;65;4;6,0%
Gesamt;1.229;64;5,5%;1.651;126;8,2%;2.881;190;7,1%
Es werden die aktuellen Gemeindebezeichnungen verwendet.;;;;;;;;;
ACHTUNG: Rundungsdifferenzen bei Durchschnittswerten möglich!;;;;;;;;;
AL200 / Würfel: amb/wal200;1;;;;;;;;
